_id,sno,district,2020_fatal,2021_fatal,2020_nonfatal,2021_nonfatal,total__2020,total__2021,death_by_lorries__2021,death_by_buses2021,death_by_carsjeeps_2021,death_by_threewheelers__2021,death_by_twowheelers_2021,death_by_others_2021,total_accidents,latitude,longitude
1,1,Chennai City,885,975,3502,4059,4387,5034,156,69,181,35,464,93,9421,13.0836939,80.270186
2,2,Coimbatore City,187,232,520,634,707,866,34,19,48,9,103,21,1573,11.0018115,76.9628425
3,3,Madurai City,158,152,372,466,530,618,12,16,29,8,65,24,1148,9.9261153,78.1140983
4,4,Salem,151,147,473,537,624,684,28,13,35,1,59,13,1308,44.9391565,-123.033121
5,5,Tiruchirappalli City,127,126,271,273,398,399,13,17,30,3,43,24,797,10.804973,78.6870296
6,6,Tirunelveli  City,72,76,208,317,280,393,7,11,20,6,31,5,673,8.7284271,77.7112925
7,7,Tirupur City,124,144,500,498,624,642,25,9,32,4,77,0,1266,11.1017815,77.345192
8,8,Ariyalur,146,161,325,384,471,545,30,10,43,2,73,16,1016,11.07603595,79.11745538
9,9,Chengalpattu,426,452,922,1162,1348,1614,74,44,94,6,148,106,2962,12.6840886,79.9836371
10,10,Coimbatore,655,593,1303,1333,1958,1926,87,29,154,9,279,49,3884,11.0018115,76.9628425
11,11,Cuddalore,488,525,2145,2402,2633,2927,89,39,135,6,221,60,5560,11.74269375,79.75030644
12,12,Dharmapuri,337,308,819,932,1156,1240,63,27,59,3,139,26,2396,12.09680475,78.19304301
13,13,Dindigul,455,509,1068,1238,1523,1747,85,48,183,8,152,63,3270,10.3303299,78.06739791
14,14,Erode,537,494,1268,1358,1805,1852,67,20,160,1,236,41,3657,11.3692044,77.67662687
15,15,Kallakurichi,283,255,608,815,891,1070,50,21,73,8,95,28,1961,11.7406259,78.9637131
16,16,Kancheepuram,293,233,616,677,909,910,66,23,36,8,57,50,1819,12.87960515,79.70427615
17,17,Kanniyakumari,242,307,901,918,1143,1225,22,26,67,16,161,29,2368,8.0879641,77.5467414
18,18,Karur,324,393,656,718,980,1111,60,24,115,1,174,39,2091,10.9301522,78.08485455
19,19,Krishnagiri,543,543,1051,1191,1594,1734,137,31,123,8,184,106,3328,12.5188835,78.2206536
20,20,Madurai,420,529,1015,1136,1435,1665,54,30,165,20,217,71,3100,9.9261153,78.1140983
21,21,Nagapattinam,184,220,534,804,718,1024,33,15,36,6,127,8,1742,10.8056276,79.82465978
22,22,Namakkal,384,413,1135,1321,1519,1734,52,24,130,3,171,42,3253,11.28422485,78.16615284
23,23,Perambalur,154,164,351,347,505,511,34,5,37,0,73,24,1016,11.2287716,78.81825555
24,24,Pudukkottai,315,360,872,1009,1187,1369,39,21,99,5,181,35,2556,10.5,78.833333
25,25,Ramanathapuram,289,318,720,789,1009,1107,20,21,93,8,149,44,2116,9.5,78.5
26,26,Ranipettai,240,239,567,594,807,833,45,16,34,2,114,31,1640,12.9292452,79.3321712
27,27,Salem,514,559,1249,1363,1763,1922,104,20,167,1,242,38,3685,44.9391565,-123.033121
28,28,Sivagangai,284,320,530,641,814,961,26,20,88,3,171,29,1775,9.9650599,78.72042832
29,29,Tenkasi,143,225,628,754,771,979,41,15,60,11,91,19,1750,9.0318958,77.36536125
30,30,Thanjavur,445,416,1261,1433,1706,1849,34,37,88,4,222,46,3555,10.7860267,79.1381497
31,31,The Nilgiris,26,32,132,178,158,210,1,3,14,1,12,2,368,11.4,76.7
32,32,Theni,202,226,607,734,809,960,25,19,67,13,91,24,1769,9.9696643,77.47420049
33,33,Tiruvallur,328,318,715,956,1043,1274,81,9,41,9,141,50,2317,13.13014755,79.92435386
34,34,Thiruvarur,154,162,498,459,652,621,24,9,34,5,88,8,1273,10.73618605,79.63318659
35,35,Thoothukudi,328,371,691,882,1019,1253,61,26,98,4,167,38,2272,8.8052602,78.1452745
36,36,Tiruchirappalli,447,498,1042,1056,1489,1554,56,29,121,9,219,79,3043,10.804973,78.6870296
37,37,Tirunelveli,210,265,524,622,734,887,24,12,88,12,113,30,1621,8.7284271,77.7112925
38,38,Thirupathur,196,218,519,491,715,709,28,8,50,6,105,29,1424,10.59635,79.56857
39,39,Tirupur,619,624,1357,1437,1976,2061,88,31,199,6,280,47,4037,11.1671878,77.3472673
40,40,Thiruvannamalai,471,490,923,945,1394,1435,70,44,107,7,233,61,2829,9.539867,77.6197904
41,41,Vellore,222,238,503,581,725,819,41,15,39,11,113,27,1544,12.7948109,79.0006411
42,42,Villupuram,507,503,1430,1628,1937,2131,70,39,131,9,209,62,4068,11.9506837,79.51214093
43,43,Virudhunagar,352,413,643,863,995,1276,35,27,125,10,203,36,2271,9.5208936,77.8784564
